[2023.04.25 10:51:10] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Manchester United], eventIdentifier=MAN_CITY_MAN_UTD_FA_CUP, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=FA_CUP, extractedTimestamp=1682412661254, originalOdds=null), one=1.61, draw=4.40, two=5.60), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Man City, Man Utd], eventIdentifier=MAN_CITY_MAN_UTD_FA_CUP, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=FA_CUP, extractedTimestamp=1682412653528, originalOdds=[1.52, 2.35, 1.48]), one=1.49, draw=2.28, two=1.45), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Manchester United], eventIdentifier=MAN_CITY_MAN_UTD_FA_CUP, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=FA_CUP, extractedTimestamp=1682412670543, originalOdds=null), one=1.57, draw=4.00, two=4.75)
[2023.04.25 10:51:10] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Manchester United], eventIdentifier=MAN_CITY_MAN_UTD_FA_CUP, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=FA_CUP, extractedTimestamp=1682412670543, originalOdds=null), one=1.57, draw=4.00, two=4.75), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Man City, Man Utd], eventIdentifier=MAN_CITY_MAN_UTD_FA_CUP, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=FA_CUP, extractedTimestamp=1682412653528, originalOdds=[1.52, 2.35, 1.48]), one=1.49, draw=2.28, two=1.45), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Manchester United], eventIdentifier=MAN_CITY_MAN_UTD_FA_CUP, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=FA_CUP, extractedTimestamp=1682412661254, originalOdds=null), one=1.61, draw=4.40, two=5.60)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.83, draw=3.75, two=4.20), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.80, 1.90, 1.75]), one=1.76, draw=1.85, two=1.71), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677430, originalOdds=null), one=1.83, draw=3.80, two=4.60)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.90, 1.80, 1.70]), one=1.85, draw=1.76, two=1.66), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.74, draw=3.95, two=5.00), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.66, draw=4.00, two=5.00)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677430, originalOdds=null), one=1.83, draw=3.80, two=4.60), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.80, 1.90, 1.75]), one=1.76, draw=1.85, two=1.71), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.83, draw=3.75, two=4.20)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.66, draw=4.00, two=5.00), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.90, 1.80, 1.70]), one=1.85, draw=1.76, two=1.66), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.74, draw=3.95, two=5.00)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.55, draw=4.33, two=5.75), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Man City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.55, 2.30, 1.50]), one=1.52, draw=2.23, two=1.47), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.61, draw=4.50, two=5.50)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.74, draw=3.95, two=5.00), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.90, 1.80, 1.70]), one=1.85, draw=1.76, two=1.66), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.66, draw=4.00, two=5.00)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.61, draw=4.50, two=5.50), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Man City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.55, 2.30, 1.50]), one=1.52, draw=2.23, two=1.47), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.55, draw=4.33, two=5.75)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.90, 1.80, 1.70]), one=1.85, draw=1.76, two=1.66), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.66, draw=4.00, two=5.00), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.74, draw=3.95, two=5.00)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Manchester United, Aston Villa], eventIdentifier=MAN_UTD_ASTON_VILLA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715356, originalOdds=null), one=1.72, draw=3.75, two=4.00), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Man Utd, Aston Villa], eventIdentifier=MAN_UTD_ASTON_VILLA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703214, originalOdds=[1.60, 2.20, 1.70]), one=1.57, draw=2.14, two=1.66), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Manchester United, Aston Villa], eventIdentifier=MAN_UTD_ASTON_VILLA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677432, originalOdds=null), one=1.77, draw=4.30, two=4.35)
